votu	lifestyle	avg_temperate_complete	diptest_ds	diptest_dnds
vOTU-000050	temperate	0.8831521739130436	0.03702935922945046	0.06595158836252947
vOTU-000051	lytic	0.08461760024390244	0.004627119314847033	0.004564581283475514
vOTU-000052	lytic	0.058649724	0.030125944009842687	0.029972922857659234
vOTU-000053	temperate	0.922674418604651	0.047573543012723964	0.09431768954747079
vOTU-000055	temperate	0.26446078431372544	0.042297884255149035	0.026009769531409068
vOTU-000056	lytic	0.007590693846153846	0.010924282116488876	0.028951728853487253
vOTU-000058	lytic	0.1060609243902439	0.019833462687095252	0.009571007731532058
vOTU-000065	lytic	0.12109375	0.009930086226649957	0.015393892284014382
vOTU-000066	lytic	0.13078095	0.031090082997792756	0.09545631474256211
vOTU-000067	temperate	0.7163194444444446	0.01700711073120352	0.016813776828280926
vOTU-000068	lytic	0.1858520463414634	0.016575963751190415	0.051855340466159354
vOTU-000069	temperate	0.7537037037037037	0.07449030326692727	0.08271568111651993
vOTU-000070	lytic	0.19736427027027026	0.016611093779899336	0.016394127159601014
vOTU-000072	lytic	0.005411740880000001	0.007873381223043043	0.008973160643055561
vOTU-000074	lytic	0.09117871739130434	0.01675573458317243	0.015227802997200265
vOTU-000076	lytic	0.14245443888888887	0.05139335180735405	0.08169708171565608
vOTU-000079	lytic	0.16006944444444446	0.01771688149991931	0.035726878680212404
vOTU-000081	temperate	0.6040322580645162	0.005915279476652167	0.005393469442947955
vOTU-000083	lytic	0.07338101550000001	0.02279682943317018	0.03147134874646946
vOTU-000085	temperate	0.9964285714285716	0.011868055902586489	0.008153911178409681
vOTU-000086	temperate	0.9853260869565219	0.019308072130425236	0.03247824369268758
vOTU-000087	lytic	0.18507709677419357	0.007746689356030978	0.009347743673298329
vOTU-000088	lytic	0.13800863050847456	0.08281090822480669	0.10156326465159617
vOTU-000090	temperate	0.9911458333333333	0.005738275883178082	0.005735793916184799
vOTU-000092	lytic	0.16133771428571425	0.044100036711710616	0.09542776871666711
vOTU-000096	temperate	0.7839285714285714	0.04086825089310843	0.08072332782323835
vOTU-000099	lytic	0.15536414107142857	0.010956173985698103	0.01271370459355848
vOTU-000103	lytic	0.16551399999999997	0.0365741628312143	0.08671879258539092
vOTU-000105	temperate	0.8656532578947368	0.09791994126678051	0.08363278447705
vOTU-000107	lytic	0.23266129032258068	0.015728893240134496	0.13612974314645795
vOTU-000113	temperate	0.4698426334920635	0.04246888137515212	0.07130649133979917
vOTU-000115	temperate	0.670625	0.0777905419824871	0.12822171600693288
vOTU-000118	temperate	0.022045038296296296	0.01645281384124427	0.010769175089636544
vOTU-000120	lytic	0.026354270588235296	0.01426731830665826	0.0710710520875468
vOTU-000121	temperate	0.2525752556666668	0.030869843467508627	0.053265065470783045
vOTU-000122	lytic	0.13065972	0.012273588243938675	0.008886924577197388
vOTU-000125	temperate	0.854382838095238	0.02601618840448652	0.01780713706223275
vOTU-000126	lytic	0.3357142857142857	0.043541750267435196	0.11230155418284563
vOTU-000128	lytic	0.031706504	0.014057375870922406	0.024443844868720678
vOTU-000137	lytic	0.40196992758620687	0.01699197585479956	0.026549700453718454
vOTU-000144	temperate	0.8033333333333335	0.09913455640097645	0.16223210641900898
vOTU-000151	temperate	0.08946991404011462	0.033768119982521556	0.09262824455792588
vOTU-000154	lytic	0.06607142857142859	0.01556279260064007	0.01642901509529291
vOTU-000155	temperate	0.9719594594594596	0.07030378643051222	0.07003525834170846
vOTU-000157	temperate	0.7647727272727273	0.059053765703204225	0.0767770494314192
vOTU-000165	temperate	0.9781250000000001	0.009419305096492178	0.007269351092352952
vOTU-000177	lytic	0.07185254772727273	0.020785116967776757	0.014490833919023859
vOTU-000178	lytic	0.21034482758620687	0.030002849081537275	0.031170306067002045
vOTU-000180	temperate	0.9223214285714285	0.0637166716426411	0.10399355145740077
vOTU-000191	temperate	0.7528409090909091	0.021844229271471737	0.04473299664588642
vOTU-000198	lytic	0.3125	0.011361659878552668	0.010320492013320897
vOTU-000199	temperate	0.9398936170212764	0.08286214501961485	0.12616596658915488
vOTU-000205	temperate	0.3401452666666668	0.013107415945059374	0.027879228852213455
vOTU-000208	temperate	0.9854166666666669	0.08316419144347256	0.1020598637497873
vOTU-000211	lytic	0.31812500000000005	0.04651863259610611	0.10133922725111368
vOTU-000228	temperate	0.9056818181818184	0.06534083014107618	0.12115559437832475
vOTU-000239	temperate	0.9128048780487806	0.007353580853502132	0.041511387034234654
vOTU-000240	temperate	0.97734375	0.01365306936246736	0.012370056812758596
vOTU-000248	temperate	0.8650641025641025	0.0346073524700192	0.09439803319007121
vOTU-000255	temperate	0.9222222222222223	0.0500289764407161	0.06922282020248369
vOTU-000259	temperate	0.2491666666666667	0.014261549209879498	0.02223270361794029
vOTU-000260	temperate	0.8625	0.014789152098939738	0.07486125305078951
vOTU-000275	temperate	0.8723274666666668	0.09554997319839408	0.07667576802887503
vOTU-000281	temperate	0.8721018962962964	0.02006830050277424	0.06284267676573632
vOTU-000289	temperate	0.7642156862745095	0.012939300709046107	0.06393400646092284
vOTU-000291	temperate	0.9133620689655173	0.031361253485807046	0.024466005991235225
vOTU-000296	lytic	0.08894230769230771	0.028589548091893582	0.08235494293158896
vOTU-000301	temperate	0.8097222222222222	0.07287496049146105	0.10891080841669298
vOTU-000304	lytic	0.19874999999999998	0.04220076056829771	0.06211169437832865
vOTU-000306	temperate	0.9786458333333332	0.0028056206916947193	0.009319216409276862
vOTU-000320	temperate	0.8528846153846157	0.021101914032761834	0.048863405669815285
vOTU-000321	lytic	0.27045454545454545	0.04523944725120526	0.05815230465779665
vOTU-000339	temperate	0.8541666666666665	0.013454014780464152	0.023581222581595507
